题型,题目,选项A,选项B,选项C,选项D,选项E,答案,解析
单选,既部署“过河”的任务，又指导解决“桥或船”的问题，生动体现了( )。,普遍性特殊性,世界观方法论,共性个性,同一性斗争性,,B,来源：理论知识测试内容（参考）
单选,( )，是中国特色社会主义制度的最大优势。,中国共产党领导,坚持全国一盘棋,坚持全面依法治国,坚持以人民为中心,,A,来源：理论知识测试内容（参考）
单选,根本就在于我们党始终( )，为中国人民谋幸福...,改革创新,自我完善,不忘初心,独立自主,,C,来源：理论知识测试内容（参考）
单选,坚持用习近平新时代中国特色社会主义思想武装头脑，根本目的在于( )。,提高认识,提振信心,认清机遇,指导实践,,D,来源：理论知识测试内容（参考）
单选,习近平新时代...思想谱写了党的( )的新篇章。,制度创新,实践创新,理论创新,理论创新,,C,来源：理论知识测试内容（参考）
单选,习近平总书记的足迹遍及革命故地...鲜明宣示必须( )。,牢记初心...,牢记初心...,传承红色基因...,牢记初心...,,D,来源：理论知识测试内容（参考）
单选,坚持运用( )解决新时代重大理论和实践问题。,辩证唯物主义,历史唯物主义,辩证唯物主义和历史唯物主义,科学社会主义,,C,来源：理论知识测试内容（参考）
单选,( )的鲜明主题，贯穿于习近平总书记推进理论创新的一系列重要论述之中。,社会主义,中国特色社会主义,市场经济,社会主义市场经济,,B,来源：理论知识测试内容（参考）
单选,全面从严治党，核心是加强党的领导，基础在( )，关键在( )。,全面...,全面...,严...,治...,,A,来源：理论知识测试内容（参考）
单选,习近平总书记...以( )的赤子情怀，提出一系列具有开创性意义的新理念...,先天下之忧,我将无我,天下为公,世上无难事,,B,来源：理论知识测试内容（参考）
单选,( )是习近平新时代...思想最为核心关键的组成部分。,五位一体,四个全面,十个明确,十四个坚持,,C,来源：理论知识测试内容（参考）
单选,习近平新时代...思想蕴含的( )，深刻揭示了马克思主义批判性和革命性特征。,批判精神,斗争精神,革命精神,奋斗精神,,B,来源：理论知识测试内容（参考）
单选,( )是维护社会公平正义的最后一道防线。,科学立法,严格执法,公正司法,全民守法,,C,来源：理论知识测试内容（参考）
单选,( )，是...贯穿始终的基本思想方法和工作方法。,调查研究,知行合一,辩证思维,实事求是,,D,来源：理论知识测试内容（参考）
单选,( )，是我们党最鲜明的品格，也是我们党最大的优势。,艰苦奋斗,不怕牺牲,开拓创新,勇于自我革命,,D,来源：理论知识测试内容（参考）
单选,2025年是新疆维吾尔自治区成立( )周年。,60,65,70,75,,C,来源：理论知识测试内容（参考）
单选,习近平法治思想强调...其中“法治国家”主要指的是( )。,法律面前人人平等,国家权力属于人民,法律是最高准则,治理体系现代化,,A,来源：理论知识测试内容（参考）
单选,以下哪项( )不是习近平法治思想中提到的基本原则?,党的领导,人民主体地位,法律至上,个人利益优先,,D,来源：理论知识测试内容（参考）
单选,习近平法治思想中关于法治与德治的关系，以下说法正确的是( )。,法治取代德治,德治更重要,相辅相成,相互排斥,,C,来源：理论知识测试内容（参考）
单选,关于中国特色社会主义法治道路，以下描述不正确的是( ),坚持党的领导...,摒弃西方法治...,服务于现代化...,不需要考虑国际经验,,D,来源：理论知识测试内容（参考）
单选,习近平法治思想提出，要构建( )的法治实施体系,高效有力的,封闭独立的,形式化的,随意灵活的,,A,来源：理论知识测试内容（参考）
单选,( )不是习近平法治思想中提出的全面依法治国新理念...的内容?,科学立法,严格执法,公正司法,自由裁量,,D,来源：理论知识测试内容（参考）
单选,习近平法治思想强调，要把( )作为全面依法治国的总抓手,经济建设,政治建设,法治建设,文化建设,,C,来源：理论知识测试内容（参考）
单选,( )最准确地反映了习近平法治思想中关于法治保障社会公平正义的观点,法治是最后防线,法治不能保障,无关,只适用特定群体,,A,来源：理论知识测试内容（参考）
单选,习近平法治思想中关于法治与改革的关系，以下说法正确的是( )。,法制阻碍改革,改革脱离法治,法制与改革相互促进,改革优先于法治,,C,来源：理论知识测试内容（参考）
单选,( )不符合习近平法治思想中关于加强法治队伍建设的指导原则,提高专业素质,强化职业道德,减少监督管理,完善培养机制,,C,来源：理论知识测试内容（参考）
单选,2020年11月召开的中央全面依法治国工作会议，是( )以党中央工作会议形式...,第一次,第二次,第三次,第四次,,A,来源：理论知识测试内容（参考）
单选,党的十八届( )专题研究了全面推进依法治国...,一中全会,二中全会,三中全会,四中全会,,D,来源：理论知识测试内容（参考）
单选,实行国家机关“( )”普法责任制...,谁司法谁普法,谁执法谁普法,谁行政谁普法,谁立法谁普法,,B,来源：理论知识测试内容（参考）
单选,完善( )的立法工作格局。,党委领导...,党委领导...,党委领导...,党委领导...,,D,来源：理论知识测试内容（参考）
单选,在我国，制定基本法律的职权属于( )。,全国人民代表大会,全国人大常委会,全国人大及其常委会,法律委员会,,A,来源：理论知识测试内容（参考）
单选,党委政法委...是实现( )的重要组织形式。,党对司法工作领导,党对政法工作领导,党对立法工作领导,党对执法工作领导,,B,来源：理论知识测试内容（参考）
单选,公正是法治的生命线...更要求( )得到维护和实现。,公开公正,公平正义,程序正义,社会和谐,,B,来源：理论知识测试内容（参考）
单选,我党颁布的最早的具有宪法性质的法律是( )。,中华苏维埃...,陕甘宁边区...,共同纲领,1954年宪法,,A,来源：理论知识测试内容（参考）
单选,习近平法治思想中，关于全面依法治国的时代使命是( )。,坚持党的领导,坚持法治轨道上...,坚持依宪治国,坚持统筹国内涉外,,B,来源：理论知识测试内容（参考）
单选,各级党组织...绝不允许利用职权干预司法，下列表述正确的是( )。,不得提出倾向性意见,必须高度重视,可以提出个人意见,鼓励司法人员...,,A,来源：理论知识测试内容（参考）
单选,( )，全国人大常委会作出关于实行宪法宣誓制度的决定...,2015年,2016年,2017年,2018年,,A,来源：理论知识测试内容（参考）
单选,党员...公开发表坚持资产阶级自由化立场...给予( )处分。,严重警告,撤销党内职务,留党察看,开除党籍,,D,来源：理论知识测试内容（参考）
单选,执行党纪处分决定的机关...应当在( )内将处分决定的执行情况...报告。,一个月,二个月,五个月,六个月,,D,来源：理论知识测试内容（参考）
单选,对党组织和党员违犯党纪的行为，应当以( )为依据...,事实,宪法,法律,制度,,A,来源：理论知识测试内容（参考）
单选,党员受到警告处分( )内...不得在党内提拔职务...,一年,一年半,一年,一年半,,A,来源：理论知识测试内容（参考）
单选,不属于可以从轻或者减轻处分的有( )。,主动交代...,配合核实...,检举同案人...,被动挽回损失...,,D,来源：理论知识测试内容（参考）
单选,为了维护党的章程...根据( )制定本条例。,中国共产党章程,宪法和法律,试行条例,廉政准则,,A,来源：理论知识测试内容（参考）
单选,对违纪后下落不明的党员超过( )的，党组织应当...予以除名。,六个月,一年,两年,三年,,A,来源：理论知识测试内容（参考）
单选,受到改组处理的党组织领导机构成员，除应受到( )及以上处分的外，均自然免职。,严重警告,撤销党内职,留党察看,开除党籍,,B,来源：理论知识测试内容（参考）
单选,党员受到警告处分的，( )内不得在党内提升职务。,1年,2年,3年,4年,,A,来源：理论知识测试内容（参考）
单选,党的各级代表大会的代表受到( )以上（含留党察看）处分的，党组织应当终止其代表资格。,警告,严重警告,撤销党内职务,留党察看,,D,来源：理论知识测试内容（参考）
单选,在干部选拔任用工作中，有任人唯亲...情节严重的，给予( )处分。,严重警告,撤销党内职务,留党察看,开除党籍,,D,来源：理论知识测试内容（参考）
单选,利用职务上的便利，占用公物归个人使用，时间超过( )，情节较重的...,一个月,三个月,六个月,一年,,C,来源：理论知识测试内容（参考）
单选,收受可能影响公正执行公务的礼品...情节较重的，给予( )处分。,严重警告,留党察看,开除党籍,撤销党内职务...,,D,来源：理论知识测试内容（参考）
单选,生活奢靡、铺张浪费...情节严重的，给予( )处分。,开除党籍,留党察看,撤销党内职务,留党察看或开除党籍,,C,来源：理论知识测试内容（参考）
单选,留党察看处分，分为留党察看( )、留党察看( )。,半年一年,二年三年,一年二年,一年三年,,C,来源：理论知识测试内容（参考）
单选,在组织( )过程中，能够配合核实审查工作...可以从轻或者减轻处分。,核实、立案审查,初步核实、立案审查,谈话函询、初步核实,谈话函询...立案审查,,D,来源：理论知识测试内容（参考）
单选,党员在党纪处分影响期内又受到党纪处分的，其影响期为( )。,原处分...,新处分...,之和,较长的一个,,C,来源：理论知识测试内容（参考）
单选,党员有嫖娼或者吸食、注射毒品...应当给予( )处分。,撤销党内职务,留党察看,撤销党内职务...,开除党籍,,D,来源：理论知识测试内容（参考）
单选,党组织...发现党员严重违纪涉嫌违法犯罪的，原则上先做出( )决定...,行政处罚,政纪处分,组织处理,党纪处分,,D,来源：理论知识测试内容（参考）
单选,对于主动上交的( )，应当予以接收，并按照规定收缴...,违纪所得,经济损失赔偿,违法所得,违纪所得和经济损失赔偿,,D,来源：理论知识测试内容（参考）
单选,搞投机钻营，结交政治骗子...情节严重的，给予( )处分。,撤销党内职务...,留党察看...,撤销党内职务...,开除党籍,,B,来源：理论知识测试内容（参考）
单选,党员领导干部政绩观错位...给党、国家和人民利益造成较大损失的，给予( )处分。,警告,严重警告,撤销党内职务,警告或者严重警告,,D,来源：理论知识测试内容（参考）
单选,不按照有关规定向组织请示、报告重大事项，对( )情节较重的...,直接责任者,直接责任者和领导责任者,领导责任者,主要责任者,,B,来源：理论知识测试内容（参考）
单选,在党组织纪律审查中...拒绝作证或者故意提供虚假情况，情节严重的，给予( )处分。,撤销党内职务,撤销党内职务...,撤销党内职务...,开除党籍,,C,来源：理论知识测试内容（参考）
单选,在组织进行谈话函询时，不如实向组织说明问题...违反了( )。,政治纪律,组织纪律,廉洁纪律,工作纪律,,B,来源：理论知识测试内容（参考）
单选,对于受到留党察看处分一年的党员...应当延( )留党察看期限。,二年,一年半,一年,半年,,C,来源：理论知识测试内容（参考）
单选,党员干部受到党纪处分，需要同时进行组织处理的，( )应当按照规定给予组织处理。,户籍地公安机关,人事档案存放处,党组织,行政单位,,C,来源：理论知识测试内容（参考）
单选,党员受到开除党籍处分，( )不得重新入党。,永久,五年,三年,一年,,B,来源：理论知识测试内容（参考）
单选,党员行为虽然造成损失...而是由于不可抗力等原因所引起的( )。,责令整改,批评教育,谈话提醒,不追究党纪责任,,D,来源：理论知识测试内容（参考）
单选,对于受到撤销党内职务以上处分的，应当( )办理职务...等相应变更手续。,二个月内,一个月内,一周内,即刻,,B,来源：理论知识测试内容（参考）
单选,党员被依法( )、逮捕的，党组织应当...中止其表决权...,留置,传唤,拘留,讯问,,A,来源：理论知识测试内容（参考）
单选,干扰巡视巡察工作...情节较重的，给予( )处分。,严重警告...,严重警告...,撤销党内职务...,留党察看...,,C,来源：理论知识测试内容（参考）
单选,纵容、默许...身边工作人员和( )人利用党员干部本人职权...谋取私利...,及其配偶、子女,及其配偶、亲属,和其他关系人,其他特定关系人,,D,来源：理论知识测试内容（参考）
单选,向从事公务的人员...赠送...有( )等财物...给予撤销党内职务...,汽车、房产,有价证券...,电脑、汽车...,有价证券、债券,,B,来源：理论知识测试内容（参考）
单选,一人有本条例规定的两种以上...应当受到的( )给予处分。,最高处分加重一档,最低处分加重二档,最高处分减轻一档,最低处分加重一档,,A,来源：理论知识测试内容（参考）
单选,因过失犯罪被判处三年以下有期徒刑...报请再( )批准。,上一级党组织,同级党组织,同级纪委,上级纪委,,A,来源：理论知识测试内容（参考）
单选,党纪面前一律平等...党内不允许有任何不受( )约束的党组织和党员。,条例,纪律,规定,条约,,B,来源：理论知识测试内容（参考）
单选,对于在立案审查中因涉嫌违犯党纪被免职的党员...应当按照其( )给予撤销党内职务处分。,拟定职务,原任职务,现任职务,最高职务,,B,来源：理论知识测试内容（参考）
单选,( )是最根本的党内法规，是党管治党的总规矩。,党章,宪法,巡视工作条例,纪律处分条例,,A,来源：理论知识测试内容（参考）
单选,在党的纪律检查...工作以及机关工作...造成损失或者不良影响的...给予( )处分。,警告直至...,严重警告...,撤销党内职务...,警告直至...,,D,来源：理论知识测试内容（参考）
单选,研究部署学习教育工作...结合实际加强( )，扎实推进( )...,警示教育、集中整治,思想教育、集中整治,警示教育、分层整治,思想教育、个别整治,,A,来源：理论知识测试内容（参考）
单选,会议强调，( )要对学习教育负总责...切实扛起( )。,各级政府...,各级党委...,各级党委...,各级政府...,,B,来源：理论知识测试内容（参考）
单选,会议强调，坚持( )，推动问题的解决。突出抓好( )学习教育。,精准指导...,精准指导...,分类指导...,分类指导...,,C,来源：理论知识测试内容（参考）
单选,会议强调，充分发挥( )党组（党委）对本行业本系统学习教育的指导作用...,上级管理部门...,上级管理部门...,行业系统主管部门...,行业系统主管部门...,,D,来源：理论知识测试内容（参考）
单选,树立和践行正确政绩观，起决定性作用的是( )。,党章,党规,党纪,党性,,D,来源：理论知识测试内容（参考）
单选,年轻干部要胜任领导工作，最根本的本领是( )。,理论素养,政治领导,改革创新,科学发展,,A,来源：理论知识测试内容（参考）
单选,人心向背关系党的生死存亡。( )是我们党的生命线和根本工作路线。,政治路线,群众路线,组织路线,思想路线,,B,来源：理论知识测试内容（参考）
单选,实践出真知，实践长真才。坚持( )是领导干部成长成才的必由之路。,在干中学、学中干,提升能力、强本领,政治坚定、讲原则,对党忠诚、看担当,,A,来源：理论知识测试内容（参考）
单选,做好( )服务保障工作，巩固发展军政军民团结。,现役军人,现役军人家属,退役军人,退役军人家属,,C,来源：理论知识测试内容（参考）
单选,兵团成立的时间是( )。,1949年,1950年,1954年,1955年,,C,来源：理论知识测试内容（参考）
单选,兵团要推动建立各民族( )的社会结构和社区环境。,插花式,相互嵌入式,分散式,集中式,,B,来源：理论知识测试内容（参考）
单选,兵团实行( )的特殊体制。,党政合一,军政合一,党政军企合一,政教合一,,C,来源：理论知识测试内容（参考）
单选,兵团深化改革的基础和关键是( )。,团场综合配套改革,民兵队伍建设,体制机制改革,师市合一,,A,来源：理论知识测试内容（参考）
单选,兵团改革要健全和转变( )的职能。,党,政,军,企,,B,来源：理论知识测试内容（参考）
单选,兵团改革要彰显( )的属性。,党,政,军,企,,C,来源：理论知识测试内容（参考）
单选,兵团改革要确立( )的市场主体地位。,党,政,军,企,,D,来源：理论知识测试内容（参考）
单选,兵团要在向南发展上取得新突破...出现更有利于( )的结构性变化。,社会稳定,局势平稳,长治久安,民族团结,,C,来源：理论知识测试内容（参考）
单选,第三次中央新疆工作座谈会提出( )兴疆。,发展,富民,经济,文化,,B,来源：理论知识测试内容（参考）
单选,兵团改革要充分发挥( )在资源配置中的决定性作用。,党,人民,政府,市场,,D,来源：理论知识测试内容（参考）
单选,兵团党委...强化( )的服务保障，全力以赴推动经济高质量发展。,经济发展,科技发展,文化发展,社会发展,,A,来源：理论知识测试内容（参考）
单选,中国共产党是为人民谋幸福的政党，也是为( )进步事业而奋斗的政党。,人类,世界,穷苦人民,各国,,A,来源：理论知识测试内容（参考）
单选,要把建设一支对党忠诚、( )的高素质少数民族干部队伍作为重要任务...,政绩突出,政治性强,德才兼备,以德为先,,C,来源：理论知识测试内容（参考）
单选,在( )上下功夫，确保新疆工作始终保持正确政治方向。,精准贯彻落实,精准高效落实,完整准确贯彻,完整准确贯彻落实,,C,来源：理论知识测试内容（参考）
单选,要发挥新疆( )优势，以推进丝绸之路经济带核心区建设为驱动...,政治,经济,区位,战略,,C,来源：理论知识测试内容（参考）
单选,兵团的看家本领是( )。,维稳戍边,屯垦,戍边,屯垦戍边,,A,来源：理论知识测试内容（参考）
单选,兵团改革要强化( )的核心领导地位。,党,政,军,企,,A,来源：理论知识测试内容（参考）
单选,把兵团的( )和发展活力充分释放出来。,特殊优势,组织优势,制度优势,传统优势,,A,来源：理论知识测试内容（参考）
单选,不断增强兵团的( )和动员能力，更好发挥特殊作用。,维稳优势,戍边优势,组织优势,经济优势,,C,来源：理论知识测试内容（参考）
单选,入党誓词如下：...履行党员义务，( )，严守党的纪律...,执行党的决定,执行党的路线,执行党的政策,执行党的决议,,A,来源：理论知识测试内容（参考）
单选,我们党的最大政治优势是( )，党执政后的最大危险是( )。,批评和自我批评...,民主集中制...,密切联系群众...,理论联系实际...,,C,来源：理论知识测试内容（参考）
单选,各级领导干部要加强道德修养，讲党性、( )、作表率...,重原则,重品行,重形象,重作风,,B,来源：理论知识测试内容（参考）
单选,党组发挥( )作用。,思想引领,领导核心,教育管理,教育监督,,B,来源：理论知识测试内容（参考）
单选,当党员对党的决议和政策有不同意见时，下列说法中正确的是( )。,可以不执行...,在坚决执行的前提下...,必须坚决执行...,必须坚决执行...,,A,来源：理论知识测试内容（参考）
单选,( )是党内政治生活的重要内容和载体...,批评和自我批评,党的政治纪律,党内法规制度,党的组织生活,,D,来源：理论知识测试内容（参考）
单选,在党组织讨论决定对党员的党纪处分或作出鉴定时...正确的是( )。,本人无权参加...,其他党员不可以...,本人有权参加...,其他党员无权...,,C,来源：理论知识测试内容（参考）
单选,遵守党的( )是遵守党的全部纪律的基础。,工作纪律,组织纪律,政治纪律,生活纪律,,C,来源：理论知识测试内容（参考）
单选,党要管党必须从( )管起，从严治党必须从( )严起。,党内政治生活...,党的文化生活...,党的纪律...,党的优良传统...,,A,来源：理论知识测试内容（参考）
单选,( )是中国共产党人的精神支柱和政治灵魂...,共产主义远大理想,中国特色社会主义共同理想,理想信念,习近平新时代...,,C,来源：理论知识测试内容（参考）
单选,党委（党组）每年至少召开( )次会议专题研究党内法规执行工作...,1,2,3,4,,A,来源：理论知识测试内容（参考）
单选,中华人民共和国主席、副主席由( )选举。,全国人民代表大会,全国人民,全国人大常委会,大会主席团,,A,来源：理论知识测试内容（参考）
单选,党的建设工作领导小组是党委抓全面从严治党的( )机构...,决策,组织,考核,议事协调,,D,来源：理论知识测试内容（参考）
单选,《中国共产党重大事项请示报告条例》...坚持( )，坚决做到“两个维护”...,纪律建设...,党要管党...,党风廉政建设...,反腐倡廉建设...,,B,来源：理论知识测试内容（参考）
单选,党委（党组）书记应当履行...全面从严治党( )职责...,主要责任人,重要责任人,责任人,第一责任人,,D,来源：理论知识测试内容（参考）
单选,...开展严肃认真的批评和自我批评，提出( )的整改措施。,责任分明,务实管用,严谨审慎,简便易行,,B,来源：理论知识测试内容（参考）
单选,制定责任清单，应当坚持( )、务实管用。,科学高效,分工明确,严谨审慎,简便易行,,D,来源：理论知识测试内容（参考）
单选,党委（党组）应当开展有针对性的( )，强化政治教育和政治训练...,监督检查,巡视巡察,督导考核,教育培训,,D,来源：理论知识测试内容（参考）
单选,某市某局党组书记...请所谓“风水大师”...其行为属于( )。,参加迷信活动,策划迷信活动,领导迷信活动,不违反党的纪律,,A,来源：理论知识测试内容（参考）
单选,破解同级监督难题，关键在( )...,党委扩大会,党委全会,党委常委会,专题会议,,C,来源：理论知识测试内容（参考）
单选,选拔任用党政领导干部，必须把( )放在首位...,个人能力,个人成绩,政治标准,个人品德,,C,来源：理论知识测试内容（参考）
单选,党的地方各级组织任期届满...延长期限不得超过( )。,3个月,6个月,1年,2年,,C,来源：理论知识测试内容（参考）
单选,党选拔干部坚持( )、任人唯贤...反对任人唯亲。,五湖四海,政绩突出,政治性强,能力突出,,A,来源：理论知识测试内容（参考）
单选,发现存在政治...等方面苗头性、倾向性问题的，应当及时进行( )。,批评教育,约谈提醒,提醒谈话,诫勉谈话,,C,来源：理论知识测试内容（参考）
单选,某县卫健委副主任...担任该医院名誉院长...其行为属于( )。,违规经商办企业,为本人经营活动...,违规兼职取酬,从事有偿中介...,,C,来源：理论知识测试内容（参考）
单选,( )应当履行全面从严治党主体责任...追究...失职失责...,纪检监察机关,党委（党组）,组织部,党的工作机关,,B,来源：理论知识测试内容（参考）
单选,某市档案局局长...任命自己秘书为办公室主任。其行为属于( )。,违反议事规则,违规选拔任用干部,帮助他人骗取职务,在干部晋升中...,,B,来源：理论知识测试内容（参考）
单选,违反规定从事或者参与营利性活动...情节严重的，予以( )。,记大过,降级,撤职,开除,,D,来源：理论知识测试内容（参考）
单选,监察机关对...选举或者决定任命的公职人员予以撤职、开除的，应当( )...,先开除公职...,先依法罢免...,先依法罢免...,先依法罢免...,,D,来源：理论知识测试内容（参考）
单选,公职人员解除降级、撤职的...薪酬待遇( )。,应当恢复,视情况恢复,不恢复,可以恢复,,C,来源：理论知识测试内容（参考）
单选,利用宗族或者黑恶势力等欺压群众...情节严重的，予以( )。,记大过,降级,撤职,开除,,D,来源：理论知识测试内容（参考）
单选,公职人员在被立案调查期间，未经监察机关同意，不得( )。,外出,继续履行职责,出境、辞去公职,停薪留职,,C,来源：理论知识测试内容（参考）
单选,根据《中华人民共和国公务员法》的规定，挂职锻炼的表述正确的是( )。,仅限于上级机关...,是同一地区机关...,挂职锻炼期间...,选派公务员到...,,D,来源：理论知识测试内容（参考）
单选,各级监察委员会是行使( )的专责机关。,党和国家审查职能,国家监督职能,国家监察职能,党和国家监察职能,,C,来源：理论知识测试内容（参考）
单选,党纪处分决定作出后，应当在一个月内向受处分党员( )宣布...,本人,所在党基层组织...,所在党基层组织...,所在党组织...,,C,来源：理论知识测试内容（参考）
单选,纪委派驻纪检组对派出机关负责...发现问题应当及时向( )报告。,派出机关,被监督单位,派出机关和被监督单位党组织,派驻部门,,C,来源：理论知识测试内容（参考）
单选,党内监督的重点对象是党的领导机关和领导干部特别是( )。,各级领导机关,主要领导干部,主要领导机关,高级领导干部,,B,来源：理论知识测试内容（参考）
单选,党的各级纪律检查委员会是党内监督( )机关。,专门,专责,专职,专设,,B,来源：理论知识测试内容（参考）
单选,《中国共产党廉洁自律准则》分为两部分：一是...二是( )。,领导廉洁从政规范,领导干部廉洁自律规范,党员领导干部...,领导干部廉洁...,C,来源：理论知识测试内容（参考）,
单选,( )是中国特色社会主义最本质的特征...,依宪治国,党的领导,依法执政,人民民主专政,B,来源：理论知识测试内容（参考）,
单选,我国宪法以法律的形式...规定了国家的( )和根本任务。,根本制度,基本制度,重要制度,主要制度,A,来源：理论知识测试内容（参考）,
单选,各少数民族聚居的地方实行区域自治...行使自治权的制度是( )。,民族区域制度,民族分管制度,民族管理制度,民族区域自治制度,D,来源：理论知识测试内容（参考）,
单选,下列说法中，哪一项是错误的？( ),宪法具有最高...,法律的效力高于...,行政法规的效力...,地方政府规章...,D,来源：理论知识测试内容（参考）,
单选,城市的土地属于( )；农村和城市郊区的土地...属于( )。,国家所有；集体所有,国家所有；国家所有,集体所有；集体所有,集体所有；国家所有,A,来源：理论知识测试内容（参考）,
单选,二人以上共同实施侵权行为，造成他人损害的，应当承担( )责任。,共同,按份,平均,连带,D,来源：理论知识测试内容（参考）,
单选,李某在洗衣店干洗了自己的一套名贵西服...洗衣店可以( )。,借此机会...,将衣服暂时留置...,将李某的衣服...,将李某的衣服...,B,来源：理论知识测试内容（参考）,
单选,国家立法权属于( )。,人民,国务院,党,国家权力机关,D,来源：理论知识测试内容（参考）,
单选,省、自治区、直辖市的区域划分由( )。,全国人大审议决定,全国人大常委会批准,国务院审批,民政部批准,C,来源：理论知识测试内容（参考）,
单选,国家倡导( )，提倡爱祖国、爱人民...的公德。,社会主义道德文化...,社会主义核心价值观,社会主义现代化...,中华优秀传统...,B,来源：理论知识测试内容（参考）,
单选,( )是党的根本政治立场。,人民立场,组织立场,国家立场,集体立场,A,来源：理论知识测试内容（参考）,
单选,习近平总书记考察调研八师一四三团中指出...要落实好( )。,发挥兵团优势,强化农业科技...,因地制宜...,以上都是,D,来源：理论知识测试内容（参考）,
单选,坚决防止以( )代替常委会会议作出决策...,联席会议,专题会议,部门会议,扩大会议,B,来源：理论知识测试内容（参考）,
单选,被调查人既涉嫌严重职务违法...一般应当由( )为主调查...,人民法院,人民检察院,监察机关,公安机关,C,来源：理论知识测试内容（参考）,
单选,民族自治地方的自治机关...发展( )，逐步提高各民族的物质生活水平。,社会生产力,地方经济,民族经济,区域经济,A,来源：理论知识测试内容（参考）,
单选,下列属于必须向上级党组织请示的事项是( )。,属于自身职权...,上级党组织...,事后报告...,重大决策时...,D,来源：理论知识测试内容（参考）,
单选,党组（党委）重大决策失误的，对参与决策的...实行( )责任追究。,重大,部分,终身,岗位,C,来源：理论知识测试内容（参考）,
单选,第三次中央新疆工作座谈会强调，要坚持( )...,依法治疆...,依法治疆...,依法治疆...,依法治疆...,B,来源：理论知识测试内容（参考）,
单选,《中国共产党廉洁自律准则》...第一部坚持( )的...法规。,正面倡导...,正面倡导...,负面清单...,负面清单...,A,来源：理论知识测试内容（参考）,
单选,下列哪一项不是党的基层组织应当履行的监督职责( )。,严格党的组织生活...,定期约谈...,了解党员...,维护和执行...,B,来源：理论知识测试内容（参考）,
单选,下列关于纪律审查的说法错误的是( )。,发现党的领导干部...,执法机关...,该干部所在党组织...,依法受到...,B,来源：理论知识测试内容（参考）,
单选,接到对干部一般性违纪问题的反映，应当( )。,约谈被监督...,先作出...,及时找本人核实...,点名道姓...,C,来源：理论知识测试内容（参考）,
单选,对于受到留党察看处分一年的党员...应当( )。,延长一年...,开除党籍,严重警告,撤销一切职务,A,来源：理论知识测试内容（参考）,
单选,党员在组织核实...能够配合核实审查工作...可以( )处分。,免除,从轻或者减轻,加重,从重,B,来源：理论知识测试内容（参考）,
单选,根据《中国共产党问责条例》的规定，问责对象的重点是( )。,领导班子,党委（党组）,次要负责人,主管成员,B,来源：理论知识测试内容（参考）,
单选,问责决定作出后，有关问责情况应当向( )通报。,党中央和组织部门,纪检组和组织部门,纪委和组织部门,纪委和上级...,C,来源：理论知识测试内容（参考）,
单选,组织部门应当将问责决定材料...并报( )备案。,上一级组织部门,公安机关,检察机关,党中央,A,来源：理论知识测试内容（参考）,
单选,受到问责的党的领导干部应当向( )写出书面检讨...,组织部门...,作出问责决定...,上级领导...,上级组织部门...,B,来源：理论知识测试内容（参考）,
单选,《中国共产党巡视工作条例》明确规定，( )承担巡视工作的主体责任。,中央政治局,党的基层组织,党的领导小组,开展巡视工作...,D,来源：理论知识测试内容（参考）,
单选,《中国共产党巡视工作条例》明确规定，巡视工作领导小组组长由( )担任。,同级党的纪律...,同级党委组织部...,上级党的纪律...,上级党委组织部...,A,来源：理论知识测试内容（参考）,
单选,巡视工作领导小组办公室应当...并向( )报告。,巡视工作领导小组,巡视督导员,巡视检查员,巡视员,A,来源：理论知识测试内容（参考）,
单选,巡视组应当及时向( )分别反馈相关巡视情况...,检察院,法院,被巡视党组织...,监察员,C,来源：理论知识测试内容（参考）,
单选,选拔任用党政领导干部，应当...由( )集体讨论作出任免决定...,党委（党组）,党员大会,党员干部,组织（人事）部门,A,来源：理论知识测试内容（参考）,
单选,哪项不是党政领导干部任职的方式？( ),聘任,录用,委任,选任,B,来源：理论知识测试内容（参考）,
单选,党政领导干部辞职制度中，不属于辞职原因的是( )？,自愿辞职,因私辞职,引咎辞职,责令辞职,B,来源：理论知识测试内容（参考）,
单选,党政机关厉行节约反对浪费，应当... ( )公务活动成本的原则。,降低,减少,节约,增加,A,来源：理论知识测试内容（参考）,
单选,党政机关国内发生的...应当使用( )结算。,现金,公务卡,个人卡,垫付,B,来源：理论知识测试内容（参考）,
单选,党政机关应当遵循( )的原则，严格执行预算...,先有预算...,严格执行预算...,严禁虚列支出,先有支出...,A,来源：理论知识测试内容（参考）,
单选,对全党政治生活、组织生活和全体党员行为等作出基本规定的是( )。,准则,规则,细则,办法,A,来源：理论知识测试内容（参考）,
单选,党内法规制定工作由党中央集中统一领导，日常工作由( )负责。,中央书记处,中央办公厅,国务院办公厅,中央纪律检查委员会,A,来源：理论知识测试内容（参考）,
单选,实际工作迫切需要但还不够成熟的党内法规...试行期限一般不超过( )。,1年,2年,3年,5年,D,来源：理论知识测试内容（参考）,
单选,中央纪律检查委员会...制定的党内法规由( )起草。,中央纪律检查委员会...,中央办公厅...,党中央组织,其自行组织,D,来源：理论知识测试内容（参考）,
单选,党内法规应当采取的修改方式是( )。,修订,修正案,修改决定,所有选项均正确,D,来源：理论知识测试内容（参考）,
单选,深化运用监督执纪“四种形态”( )。,①②③,②③④,①②③④,①③④,C,来源：理论知识测试内容（参考）,
